,content,label
27,"When el Mayate del gym te hace darle besitos a su verga olorosa sobre la licra.
Si se nota el piercing que trae en los huevos 😛
💋 url",NP
28,@geras_fm @kikeurbina Aún no hago drag pero el día que suceda creeme que grabaré este video para ti 💞,NP
29,"Lucharé por matrimonio y adopción cuando nuestras comunidades, nuestras familias y la sociedad nos acepte. A los maricones, a los jotos, a las locas, a los mayates. Hasta entonces pelear por un discurso patriarcal de aceptación, no sirv de nada para nosotrxs.",NP
30,@VengaLaAlegria LOCAS AL BORDE DE UN ATAQUE SABEN BIEN QUE SE LLEVAN A LA CAMA A TRANS PAGADAS Y OBVIO SE VAN TERMINANDO EL SERVICIO! SE HACES LAS OCCISAS MENSAS! 🤣😂🤣😂,NP
31,"@MontseM57917091 @jess_ollin @FreyaStClair @modorus @almarazkari @JEnriqueSnchezna @Fridaguerrera @brujasdelmar ¿Conoces a alguna persona menor trans? Yo si. A muchas. La ley de infancias trans no dice nada de hormonas o cirugías. Es solo un cambio en los documentos (reversible si luego se arrepienten).

O podrías hablar y escuchar a sus madres, más que decirles que abusan de sus peques.",NP
32,"Nosotros los rockeros: pinches BTS son bien puros. 

Nosotros los rockeros tambien: calmateeee cabron, Freddy Mercury no era url Era su putisima majestad.",P
33,ahora comprendo por que Rebecca Glascock regresó a hacer drag 🤔,NP
34,"Hoy miré a mi ex vestida de señora, ¿se supone que tengo que sentir algo?",NR
35,@Lunaticapurpura La estadística es que tiene una incidencia de.. cero url,NR
36,Believe de Cher es el himno de los broken-hearted (sobretodo drags) pero igual la amo.,NP
37,¿por qué yo no he comprado mis @Doritos_Mx de jotito?,NP
38,@Maxi_Hp @frankymostro no manches ese es un transformer,P
39,"@Xpidxaa_bi En mi experiencia, estando cerca de arboles o muros para ocultar/deshacerse de evidencia",NR
40,"@MundoLGBTTTI @LGBT @Sexybootyshd @DiosasLesbianas por mi se pueden morir, no tengo conveniente. @Gay_of_europa url",P
41,@lasillarota !!! LA GUERRA SUCIA SOLO EXISTE EN SU LOCA IMAGINACION MAQUIAVELICA ¡¡¡¡,NR
42,"@marianismorales @trendt00 Mira, la REALIDAD del cuento es que Justo pOR SER TRANS.. no importa cuanto me arregle, la gente se va a poner idiota y escandalizar. Medio mundo me va a decir ""hombre"". 

Vale gorro arreglarse pa' cualquier tema de validación externa/entrar a una ""norma""",NP
43,MWES -  Maltratan en un aeropuerto ruso a un artista israelí por ser homosexual  - Desde el primer momento entendí… url,NP
44,"@vidallerenas Anexo pruebas para que vea que no es una crítica por criticar, es una preocupación real pues la mitad de la comunidad #lgbt #trans #azcapotzalco vulnerable,  no está en sus programas. Faltan por responder casi 70 chicas más @palestina_359 @SandraCuevas_ @Claudiashein url",NP
45,"Si festejar un gol es provocar, ya ponte faldita maricon #FueraAxelDelUni . No tiene ni idea de lo que escribe url",P
46,"@DAlpaca17 Y usted afirma que las personas transexuales sufren y las toma como trampolín para chillar por unas leyes inexistente que ""laceran"" a los hombres en España.🤣🤣🤣🤡🤡🤡🤡",NP
47,"Me llegó un casting para una obra de teatro para niños, describe la obra (es original) y piden a una mujer, pero luego dice “si la actriz es mujer trans.. mejor para los niños”.

Y ME DERRETÍ DEL CORAZÓN url",NP
48,"@elpadrejesus_ No entiendo x que si dios hizo hombre mujer, ahora dan tanta publicidad a lod gays es un mal ejemplo a los ninos se me hace una degeneracion el que nace asi se acepta, pero ahora todos son que triste",P
49,"En relación a este tema, me sorprende ver la gran cantidad de personas comentando que "" deberían crear leyes"" para sancionar estás acciones. Los invito a leer el artículo na61 bis del código penal del Estado de Jalisco. url",NR
50,"@TheNifel Uy eso es horrible. 

Recuerdo una amiga trans que me decía con todo el orgullo “yo nunca usé pelucas”

Como si que o que.",NP
51,HAPPY BIRTHDAY! A la más loca del mundo url Más años y más bailes en perfecta sintonía jij love and miss you 💕 url,NR
52,@krlangaas Ola. Ez ke bi ke tienez unas piernaz muy bonitaz y me gustan demaciado.,NR
53,"¿Te gusta? 😈

Mándame dm 😏

#Single #SingleTexmelucan #Singlepuebla #Texmelucan #puebla #Cholula #Huejotzingo #Bi #Gay #Trans #Travesti #parejas #Encuentros #Dotado url",NP
54,@jenjen3na0 @Milgoeshunting Las lenchas a la defensa.,NP
55,Diosito por qué me pusiste como roomies a lesbianas escandalosas hurtadoras solo haces que mis prejuicios hacia la humanidad perduren.,P
56,"Y pues si. Cuando eres trans, Ir al baño o vestidor es un deporte extremo.

Tú estás en lo tuyo y la banda se pone en modo obsesión mil con tus genitales y lo qué haces y neta.. una solo quiere usar el baño (o cambiarse si vestidor).",NP
57,Techno Travesti es una pinche rolota!!,NP
58,"Los jotos no deberíamos hablar mal de los jotos, pero se perdería parte de la esencia de los jotos, y entonces los jotos dejaríamos de ser jotos. url",NP
59,Tómate la foto hoy 1na del día en @tabascohoy con #TortugasNinja y #Transformers. En vivo por url url,NR
60,Algo me decía que esta semana iba a estar muy url Vamos en la cuarta hora y ya está muy loca.,NR
61,"Niños de Jacona, encontrados en Zacatecas. Se daban lujos con 300 mil pesos que uno de ellos robó a su abuelo y yo creía que mi infancia había sido cool y loca por quemar lotes baldíos 🤦🏼‍♀️",NR
62,"@chance_chant PRECISIÓN

Por una mayor diversidad sexual, cultural y social:

En esta cuenta se respeta a las personas trans, se ama la música trans y al dj Armin Van Buuren, y se vota contra los políticos tran(z)as. 💚",NP
63,"Hoy JUEVES la diversión CUESTA MENOS !!!
NO COVER de 10 a 11:30 
+STRI00ERS &amp; TRAVESTI Show
+Dj en vivo url",NP
64,"""Apoyo y agradecimientos al futbolista Josh Cavallo tras declararse gay""  url",NP
65,GRACIAS a @Noticias_21 y a mi amigo @EnriqueAlcocer! 📺🙌🏼🙌🏼 x la entrevista para promocional #Maricon mi Expo en #iztapalapa url,NP
66,"@ArtemisRofocale Se merece el cielo por su activismo. Y lo chida que es. Activistas mediáticas de hoy ni la mencionan (ha hablado de eso la Tula)

pero creo es más importante recordarla como víctima del “pánico trans”. Una morra nada que ver random que la pusieron AL SOL para abusar el escándalo.",NP
67,Sabes que fue una #NocheBuena cuando te dormiste vestida y amaneces con un cara de papa-Yoda encajado en la espalda 🎄 url,NR
68,"Dos locas a punto de chambear!  😂🙊😂 ""TAN AMIGAS COMO SIEMpRE""
""MAMÁ NO SOY GAY"" 
@teatroencorto… url",NP
69,"Arreola y Salas no son cantera, son mayates de Cruz, es imperdonable, son un par de estatuas. url",P
70,@Danielc008 No llore joto jaja,P
71,"""No nos cansemos de hacer el bien.""
.
.
.
.
#tuyyosomoscocut #cocutlgbti #cocut #lgbt #lgbtlove #love #amoresamor #loveislove #lgbtquotes #quotes #citas #lesbian #gay #bisexual #trans #queer #instalgbt #instagay… url",NP
72,"No había visto mis tweets, soy muy marica últimamente 😩",NP
73,I'm at Calle Mariquita Sánchez in Mexico url,NR
74,"@frescoyseco No, a eso se le llama ser VISIONUDO.
Gran frase de mi abuela que describe a alguien que hace un ridículo atroz y no tiene ni puta idea que lo está haciendo. Jajaja",NP
75,"por dentro, simplemente mujer #Femboyhot #chiconena #pasivogdl #afeminado #machosbi #CHACALES #ChacalCaliente #Mayates #casadobisex #chicosgdl #putito #chicoenlenceria url",NP
76,Fue elegida la primera senadora trans en los EEUU url,NP
77,Berta Lucia fue a ver al papa vestida de novia para pedirle que la iglesia acabe con el celibato de sacerdotes url,NR
78,"No se sorprendan si un religioso les dice que no está bien ser Gay, los pendejos siguen un libro que dice que comer camarones es pecado y el cerdo es url ASÍ DE pENDEJOS ESTAN.",NP
79,"MUJER QUE HACE ALGO QUE TODAS LAS MUJERES HACEN... ¡ES TRANSEXUAL!

(Noticia) (Noticia) (Periódico) (Blog) (Noticia) (Radio)",NP
80,"Trump dice que esta OK con el matrimonio igualitario url

Y con gente trans en baños url

Baia baia",NP
81,@Jackskinri00er @CCancunenses No eres más joto por que no eres más alto. Tremendo puto¡,P
82,pinche jota.,P
83,- su mayate url,NP
84,Las lesbianas en jueves son cosa seria.. Verdadedios,NP
85,"Oiga don @Muwpn usted me cae bien por joto, porque como tuitero, no tanto.",NP
86,"En otras noticias si a usted le preocupa la escena de Buzz Lightyear pero quiere ir al cine, evite Centro Magno en Guadalajara. Habemos mucho joto y no lo queremos incomodar. url",NP
87,"@HuSaLiAl @faisirrito Faisy quiere aprender sip. Siempre con el cora. La buena intención está y es re evidente. Mismo con @Hellderb.

De hecho celebro el show le de espacio a alguien trans.

Es Talia el por que publico. El que le ande pidiendo ayuda a grupos de odio por que “los gays la atacan”. Jijo.",NP
88,"@luleluledielli puta vida, nomás me deprimo):",NR
89,"Tw 1-Ayer tuve q explicarle a una Sra Argentina q leyó en mi tw q me ponían ""la loquita""q creyó q enloquecí de verdad por irme d mi paíurl",NR
90,TNT 610 no me cansaré de verla!!!! ★ Transformers — url,NR
91,"pura gente loca este día (@ Home Sweet Home in México, Distrito Federal) url",NR
92,Solitario sujeto incendia el bazar La Onza que se ubica en Sarabia 6na-Bis de la zona centro de Cd. Lerdo.,NR
93,En otros temas creo que Kevin igual que Ricky todos sabíamos que era gay menos url feo es esconderse.,P
94,"@AlmaDeliaMC pERO luego tienes un grupo de gente bisexual que criaron enseñando a negar una parte de su sexualidad. pERO SABEN que ahí está, y se la pasan preguntando ""si yo me enseñé a que no me gusten los hombres.. por que chingados este homosexual no puede hacer lo mismo?""",P
95,"El candidato a la alcaldía de Torreón Raúl Sifuentes, acude a la plaza Mayor a dar su apoyo a la comunidad gay.",NP
96,@ivnuevo @nosernanana6 Osea sí eres marica?,P
97,"@chantalflo @Don_listone Jajajajaja no mames, tengo todo un puto guardaropa tuyo Ajajaj ya hasta me pongo tus blusas. 🤣",NR
98,@Antweetmoral ALV pues de que clase de jotos porque ni chido está url,NP
99,Activo aunque les cueste pronunciarlo jotos!,NP
100,"@hebertosinlao Los jotos no tanto, la vdd 👀😬",NP
101,@Bfromthe_BAYY Feliz Cumpleaños !!! Diosito te cuide y te bendiga en compañía de tus seres queridos pronto volvere a verte vestida de verde,NR
102,"@LeonelAncam @nuxsilva Hay gente que no es ni hombre ni mujer. O ambos hombre y mujer al tiempo. Sin género, con todos los géneros, de un nuevo género.
En fin, no son de género binario.

Honestamente me parece lo máximo (mi pareja es no binarie)",NP
103,@SiSoyVeraCruz Wow yasss queeen eres de las mejores Drags 🤯,NP
104,para que hacer corajes no vale la pena hay mejores cosas que ver en la tele tengo cable y yo viendo pendejadas de  gays etcc😎👎#MeEnamoroSi,P
105,"@joshuarodri @hearhugoroar @elsaruizcomica @Zozpart Lo mismo con la sexualidad. Hay CHINGOS de personas que de identifican lesbiana sin nunca haberse acostado con mujeres.

El punto es, que importa la definición si hay quien se identifica así.",NP
106,"@luisa_na105  jajaja, es que las lesbianas me dan miedo :(",P
107,"Agradece la comunidad gay #Durango que los diputados locales ""ya se van"", reporte de @veronicaTV10 @canal10durango",NP
108,"Me caga hablar na4/7 de temas trans y cosas que me son medio obvias a mi. 

Bleh",NP
109,Sería más perfecto más locos en esta vida loca Roberto que sean incorruptibles y amén que corra sangre x sus venas saludos url,NR
110,La gente es mejor que tenga novia/o o si no va a andar de puta/o.,NR
111,"Cuando me preguntan acerca del que me llevó a ser trans yo siempre digo: miren.. hay un patrón, 
solo es cuestión de fijarse. url",NP
112,Mi vecino gay mira por l ventana como si estuviera en un video de Juan Gabriel. Qué cosa más chula 🌺,NP
113,@tory_travesti Se ve padre tu ruta. ¿Ahí fue donde te lastimaste?,NP
114,puta @ChoisixLoL  enséñale a ese pete como se juega Blitz #ChoiparaVirtuspro :v,NR
115,@laaficion @miseleccionmx ¡AL MENOS NO VIMOS UN FESTEJO MUY GAY!,P
116,El tal monumento Magno al ejército mexicano parece un transformer que se quedo url url url,NR
117,@cuevilla @callodehacha No ofendas a alas perras !!! A este gay lo lo defecaron!!!,NP
118,#LoMásLeído » Aseguran que novio de J.Lo la engañó con un transexual url,NP
119,"Los gays que dicen ""Bro"", namames, te la comes doblada y me vienes a decir ""bro"".",P
120,"@MarianaSista Seh. Eso de ""no se puede por ser Trans""... nah.",NP
121,"@MmDivacel @iamfcojacome No estamos, o al menos yo, en contra del negocio, de las ganancias que pudiera generar un concurso de drag; lo que no me parece congruente es que se ""apoye"" ese programa cuando ha demostrado que le vale la homofobia y/o transfobia que pueda ocasionar",NP
122,"@CopeSoR siempre saliendo al frente para garantizar inclusión Real!
Comunidad Loca y Sorda juntes nunca injuntes 💜🌱💥 url",NP
123,"@zepedapech Que no eras queer, afrodecendiente, viriginal y revolucionaria?",NP
124,"En grindr solo leo

*no gordos
*no prietos
*no afeminados
*no feos

Y es como que PINCHES REQUISITOS PENDEJOS soy todos en uno url",NP
125,"pintas mi mundo de colores 💙🙊🌈 #lgbt #mensfashion #trans #style en Mérida, Yucatan url",NP
126,Homosexuales + puerto Vallarta = la novedad. url,NP
127,"@maittevm es verdad. pero hay muchas personas Trans que no podrían pagar si no fuera así, subsidiado :)
Mucho que agradecerle a México.",NP
128,"One of Ford’s New Male Models Is a Woman (ojo, no es trans, es una chica que se viste MUY BIEN de guey) url",NP
129,@LeonHenao Además de honrar a nuestros antepasados lo cuales murieron en el closet o en el intento en tener (y que todavía nos faltan) los derechos y la visibilidad que hoy por hoy tenemos y fun fact las denominadas “vestidas” y “locas” lucharon por nuestros derechos.,NP
130,Finalistas como Mejor Vestidas del Oscar: Top 4. url,NR
131,@albertochavezv mayate de giñac,NP
132,@RacheAedo Jajajaja pero pREpÁRATE.. por que si es un estereotipo trans el hacer artes marciales,NP
133,@bis_kata MMMM ESA PANOCHITA CV MMMMM DELICIO9SA Y MUUY BONITA 😘😋😋😋😋😋😋😋😋😋😋,NP
134,@Fer_Gay ¿Túnel? Jajaja a ver si te atreves con el @RusoZamogilny!,NP
135,"“Mientras mis 13 tías, vestidas de negro, bordaban, yo me entretenía pintando sirenas, caracoles, rosas y Magnolias muertas"", Juan Soriano. A 100 años de su natalicio, hoy 4 pm en el 98.5 FM #HeraldoRadio @gloaeza @egoldbard hablarán del gran pintor jalisciense con Marek Keller url",NR
136,@rc_vexdranz Vamos por unas putas 🌚,NR
137,Algún asexual por aquí?,NP
138,"Las penas con pan son menos
A falta de pan: Tortilla, no lencha pues'n. 
#Tiempo
#Mantenimiento 
#Guitarril url",NP
139,"oye @AlejandroSanz sabes que te amo , pero te ame mas oyéndote sin música #AQueNoMeDejas uffff loca",NR
140,Abraza @pontifex_es a exprostitutas y transexuales en el #Vaticano url url,NP
141,ES QUE DRAG ME DOWN ES MUY pERFECTO CADA VEZ QUE LO VEO SIENTO LA EMOCIÓN DE CUANDO LO VI X pRIMERA VE,NR
142,Disney presenta en una serie a su primera pareja gay url,NP
143,"¡Este jueves! La entrevista que más he reído en toda mi vida 😂 nos vemos 60M en @pinkypromisetv con mi querida @karladiazof y con dos grandes amigos @elcapiperez y @fer_gay 🦄 en Mexico City, Mexico url",NP
144,Surl quiero ser un hombre que ha ido a un concierto con una chica vestida de rojo… url,NR
145,"Las personas Trans nacemos dónde nos de nuestra rechingada gana, no necesitamos de la aprobación de nadie para existir.  Somos luz. url",NP
146,"Si yo fuera homosexual o bisexual, habría salido del clóset casi en el mismo momento en que salí del clóset del ateísmo a mis na5 años. Yo no necesito estarle escondiendo nada a gente mediocre que de todas maneras me insulta y me critica. Y no es mi estilo esconder cómo soy. url",NP
147,Hay putas buenas.,NR
148,RT @angelgcm: Malo que fuera joto jJajajajajajaja 😂👌 url &lt; Que triste. Que fuerte ver a un chiquito hablar así. :(,P
149,puta madre que ir a los angeles sera durante el semestre 😰 nose si fletarme faltar 1na días,NR
150,Fotos y videos ala venta bebés 😈🔥manden mensaje privado #rt #trans #pornotrans url,NP
151,por que los que mas joden a Maluma son gays? 🤔🤔🤔,NP
152,"Si te haces las uñas no eres Maricón. Sólo metrosexual.
si si o si no, ve a Handmade nails en polanco. 55 na6na419na4 url",NP
153,Me acabo de dar cuenta que alguien que pensé que era alguien gay en Twitter resultar ser una mujer 😂,NP
154,"Típico no le contestas un DM y dejan de seguirte, que mariquita ✊",P
155,"@spfpi @rochaperiodista Oye si, ese niño ya es el escudo infantil oficial de la agresividad closetera de la dama. Así que ni se quejen de los malos tratos que le propina al morrillo que ya deberia de estar acostumbrado!",P
156,"Yo quiero estar contigo, vivir contigo , bailar contigo y tener contigo una noche loca 🎶",NR
157,"Entonces,  chinguen a su madre.  @MalditaLesbiana-s les iba a contestar su 21 putas locas, pero no quisieron",P
158,.@earcos @Hipertextual sigue siendo un putazo victimario. Apoyo por fa. 43% de la población trans se suicida por baja autoestima.,NP
159,Mi mamá dice que Harry no es gay JAJAJAJAJAJJAJAJAJJAJAAJAJAJAJAJAJAJJAJAJAJJAJAJAJAJAJJAJAJAJAJJAJAJAJAJJAJAJAJJAJAJAJJAJAJAJJAJAJAJAJJAJA,NP
160,Desearía tener la oportunidad de varias chicas trans de poder transicionar bien y no andar como ahora en una ruleta rusa de decisiones,NP
161,"#Espectáculos: Sí, soy un poco gay: James Franco url url",NP
162,"Buenos y limpios días, no se les olvide bañarse antes de salir de casa 😏😉
.
.
.
.
.
.
.
.
.
.
.
#goodmorning 
#picoftheday
#selfie 
#gay 
#instagood 
#me 
#followｍe en León, Guanajuato url",NP
163,Me acabo de aventar 4 horas en llamada con mi ex ⚠️ No seas puto cabrón de mierda wey.,NP
164,"Contigo no hay problema bebé, eres como el amigo gay de todas :) Hahahahah nocierto. url",NP
165,"Nuestra @lynmaychi se une al #pridena0na0 con este video en apoyo a la comunidad #lgbt #lesbico #gay #bisexual #transexual #diversidad
.
En @witzi_teve #LoMásEspectacular #LynMay #vedette #show #bailarina #gaypride… url",NP
166,Ya que se declare la lencha.,NP
167,"@edalcees @LizandroClavel @mojosonico @mirnae_am @yomantequilla @AliDCat1 @nat_Moreno_R @jucevibe18na3nana Y tú te haces más pendejo o que? 
Una mujer trans es una mujer, su contexto y su background no es lo mismo que el una mujer cis. 
Una mujer trans es una mujer y ella puedes competir y no es un hombre operado. 
Así que si no tienes empatía no es pedo mío.",NP
168,"@salazargdl el trans-sexual es el que atraviesa el sexo (se opera genitalmente).

/@publimetroMX",NP
169,#Torreón Buscan evitar que parejas gays adopten url,NP
170,Callese vieja lesbiana,NP
171,4 día y los mariquitas de @DMSPDGO que no quieren ni pueden. Placa FN7428A Fracc camino real calle camino real esq. Hac de corrales. url,NP
172,"Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Laguna, Martín López, Martín ... url vía @Change_Mex",NR
173,La raza en la twitch party bailando caballo homosexual de las montañas. url,NP
174,22 años y aún no conozco a un Iván que no sea un flamante maricón.,P
175,@luzindacosmic @Montsysa ah si. Yo lo decía por qué el ser trans no tiene nada que ver con a quien una le coquetee.,NP
176,"@Yadeth_Isaac Así con lo identitario. por mi me parece espectacular. Siempre y cuando no me obligue a mi a ser Bi y Lesbiana a su paso.

La diversidad es espectacular",NP
177,"@laishawilkins Laisha, los tuits con nombrecito y números ejm. Saulga897542315 son bots lanzados desde la oficina del jotito @JesusRCuevas (a) LOVREGA. Ni te molestes en responderles.

@GlodeJo07 @MuySuFrida @penileyramirez",NP
178,RT @SWMexicoCity: Cambalache: a00 para intercambiar ropa entre mujeres &lt; díganles que la comunidad trans quiere esto para unir MTF con FTM,NP
179,"Callate puta y ponte de rodillas,  esta noche sesionamos.

#LadyDEA #bdsm #ButtplugGirl #tortura #spankedass
#gagball #mordaza

#DomingoDeSeguirZurdos url",NP
180,"@vulvalamera Soy mujer trans y no me quiero “cortar el pene” 🤷🏼‍♀️

Es bien normal de paso. La cifra de mujeres trans que pasan por operaciones generales es baja, como del na3% 

Recomiendo nomás.. pues no sé, una informadita o dos del tema antes de asumir cosas pue.",NP
181,Busco #casadosconhijos #casado #curiosos #bisex #Mayates #chacales #maduros #heteros para sólo #sexo MandenMD solo #placer #coger #diversion #discrecion #puertoVallarta 💯 url,NP
182,@_Pocho98 @Chivas @PumasMX pues url los pumas son los url raritos,NR
183,No me deja de doler la panza por todo lo que he comido😖Que pasó amigo? Dónde quedó ese estómago de hierro? nos estamos poniendo medio gays.,P
184,Ya me estoy haciendo gay chicos url,NP
185,"@HelenaMeriN @FarahCubas @Romana0uella @Li_Kaczynski @anaisbernal @lara_santaella @SiobhanFGM @VelvetMolotov Me asomo para decir que es muy raro ese feminismo que solo es para cierto tipo específico de mujeres.

Así mismo, siempre que hacen reglas para excluir a mujeres trans.. acaban excluyendo a mujeres cis queer y de modos misóginos reducen a la mujer a su apariencia o sus genitales.",NP
186,"@LiHerr09 @Letras_Libres Ni hablar mujer, trais puñal.",NP
187,Land of Storms está basada en hechos reales y retrata la tortura y violencia que las personas homosexuales viven en Hungría. @FICGoficial,NP
188,Cuando las lesbianas salen a comer quien paga la cuenta? #YoMisogino,P
189,"@dxtr_ @SoyLaChachis Yo soy mujer. Mujer trans. ""Una trans"".

Hombre trans es quien se le asigna mujer al nacer y transiciona. Ahora es hombre. ""Un trans"".",NP
190,"@paOla_Tellez afirmativo, vamos rumbo al Bi.. 😉",NR
191,"@putaRehabilitad La revisión de los martes. pero es que yo solo me maquillo cuando voy a la oficina, mis pinturas llevaban un año guardadas, las estoy desquitando aunque parezca drag queen",NP
192,para que pides perdón si al darte la espalda me clavas un puñal que da el toque mortal y destroza mi alma. 🎶,NR
193,@verdelejos mire vieja marica guevon pues,NP
194,"@MooreOropeza No hay de qué mariquita, oye jaja se salió un barniz mañana te solo doy. Te amo 😘",NP
195,Q complicadas somos las mujeres; nunca podría ser lesbiana por el simple hecho de q a duras penas puedo lidiar conmigo,NP
196,@Lalord_ Ya se te quitó lo marica sentida?,P
197,@antofthesky Shi efectivamente. Del elenco serías  el wero de la pareja gay,NP
198,A mi me volvió loca tu forma de ser ...,NR
199,"@teffyantonelita de paso, ¿eres Trans? Yo sí. No sé si entiendas al 100% el dilema si eres observadora y no has tomado hormonas",NP
200,Aplaza Banco de pagos Internacionales inicio de mandato de Agustín Carstens url url,NR
201,"Ya estoy acostumbrada al dolor, a tanto drama y a todo 💅 nobody can drag me down 💪 desde el na01na #HarryBeCareful  #LouisIsGoingToBeADad",NP
202,"Perdón por no ver La Más Draga, El Exatlon y Master Curl",NP
203,"@iauraB porque le dice hijo,y contesta, yo sola? es puto?es lesbiana? Na antianda.",NP
204,#Entérate Implantes mamarios para transexuales serán financiados por #Holanda url,NP
205,"@CarlosLealMx  ¿crees obligatorio que los homosexuales, lesbianas, transexuales, travestis, intersexuales y queer paguemos todos los impuestos si no tenemos todos los derechos? ¿Que opinas? url",NP
206,"👏🏻 al reportero que pudo identificar entre 10 mil personas que la mayoría era ""gay"" en el concierto de @samsmithworld url",NP
207,"@Alberto_Rubio pues, primero reparar el tema de volver a obtener el voto trans.",NP
208,"@Maldiciento @LavaderoMunecas @_Maniguis Jajaja lo ponia porque se me hizo tan ironico que Ricardito en su afán ser ""tan queer"", ""tan relevante"", termino viendose como un personaje que hace mofa a un homosexual del los na000s.",NP
209,Alm putos gatos me asustaron,NR
210,@ClubBabylon_Gay @gomangopuntomx @revistaboysmx @jaiboortiz @Flashpower8 @ORGY_CDMX @Markizgaga @orgyologoII @Karlonana4na767na @cruising_cdmx Todo cambio es para bien de todos tranquilos chavos 😎,NP
211,"@ArielURosas @elsaruizcomica parq tu decisión: Yo me he hecho como 6 cirugías. 7 años en hormonas.
El tema de los pronombres sigue presente. Eso si, soy una lesbiana machorra salvaje con mi look a veces. Manejo karate verbal con gente para lidiarlo.

pero mi TRH me da alegría. Es algo personal. De mi con mi.",NP
212,"No sabes cuanta lagrimita me da el pensar que ahí en primera plana está un ""mujer trans"". url",NP
213,"@cicconered88 a MUUUUCHOS hombres trans les super resbala sus genitales. Eso si, la hormonización hace que tu clit se haga como pene.",NP
214,"@xhaloe La única pocha aquí sos vos, aparte closetera. HAHAHAHAH.",NP
215,Hay demasiados homosexuales hoy en dia :o,P
216,@eruviel_avila esto te va a seguir incluso después de la muerte pinche #Chapitas puñal url,NR
217,"@8d6fb378fnaf14e4 No porque soy un hombre maduro y soy soltero y no soy hay, ni joto u homosexual. Hay y habemos excepciones a la regla.",NP
218,"@Luzkabrona no sabía que eras lesbiana aunque sí tienes como tipo de machete, pero me sorprende que te encueres😷😷",P
219,"Listo y más que listo!
#gay #smile #cdmx #maraton #maratoncdmxtelcel #maratoncdmxna019 #sigansedivirtiendo #handsome #diaprevio #nervios en Autódromo Hnos. Rodríguez url",NP
